player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Lance Lynn,great,above average,5.711764705882352,4.0,1.1111111111111112,7.2,2,6.294117647058823,95.41176470588235,94.0,3.0
Hunter Gaddis,worst,worst,3.1,-6.5,0.5555555555555556,0.2,0,2.0,79.0,7.9,2.0
Shane McClanahan,excellent,excellent,6.129166666666666,7.5,1.1111111111111112,5.9,5,7.28,86.84,82.3,0.0
Kevin Gausman,great,excellent,5.633333333333333,5.5,1.1111111111111112,7.3,2,6.62962962962963,90.51851851851852,94.3,3.0
Noah Syndergaard,poor,poor,5.5,-3.5,0.6666666666666666,4.0,3,3.9545454545454546,83.54545454545455,86.4,0.0
Pablo López,average,average,5.471428571428571,0.5,1.0,5.0,4,5.392857142857143,90.10714285714286,87.1,1.0
JT Brubaker,below average,below average,5.311538461538461,-1.5,1.0,5.8,3,5.384615384615385,87.07692307692308,90.6,2.0
Carlos Carrasco,above average,above average,5.4,2.5,1.0,5.1,3,5.28,83.12,82.5,1.0
James Kaprielian,worst,worst,4.954545454545454,-7.5,0.6666666666666666,3.6,2,3.4545454545454546,83.63636363636364,86.9,1.0
Lance McCullers Jr.,worst,poor,5.64,-5.0,0.911111111111111,2.6,1,5.2,92.8,46.4,2.0
Daniel Lynch,poor,awful,4.869565217391305,-5,0.911111111111111,4.0,4,4.565217391304348,89.91304347826087,87.9,0.0
Dylan Bundy,worst,awful,4.92,-6.5,0.6666666666666666,2.8,4,3.4,75.72,75.6,0.0
Chase Anderson,worst,worst,2.25,-8,1.1111111111111112,1.1,1,2.75,48.75,19.5,0.0
Miles Mikolas,below average,average,6.244827586206896,-0.5,0.7777777777777778,4.3,4,4.655172413793103,96.96551724137932,95.4,1.0
Sean Manaea,average,below average,5.35,1.0,1.0,4.5,7,5.461538461538462,84.96153846153847,72.9,2.0
Madison Bumgarner,worst,worst,5.257142857142857,-8,0.6666666666666666,3.9,4,3.75,90.78571428571429,95.0,0.0
