player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Louie Varland,excellent,excellent,5.1,7.5,1.1111111111111112,0.7,0,7.0,80.0,8.0,7.0
Josh Winder,worst,worst,4.463636363636364,-6.5,0.6666666666666666,3.2,6,3.0,71.18181818181819,75.5,1.0
Konnor Pilkington,worst,worst,3.7214285714285715,-7.0,0.7777777777777778,3.3,3,3.142857142857143,68.42857142857143,80.2,1.0
Mike Minor,worst,worst,5.277777777777778,-7.0,0.7777777777777778,3.7,5,4.166666666666667,92.27777777777777,93.5,1.0
Dakota Hudson,worst,worst,5.25,-8,0.5555555555555556,3.1,4,3.0,84.95833333333333,82.3,0.0
Hunter Greene,above average,below average,5.11,1.0,1.1111111111111112,6.3,3,6.35,92.05,97.1,3.0
José Quintana,below average,average,5.107142857142857,-1,0.7777777777777778,3.7,4,4.214285714285714,85.71428571428571,83.4,0.0
José Ureña,worst,worst,4.358823529411764,-8,0.5555555555555556,3.1,3,2.5294117647058822,73.0,84.7,0.0
Hayden Wesneski,excellent,great,4.1,6.5,1.1111111111111112,1.1,1,5.5,74.5,14.9,3.0
Kyle Bradish,below average,below average,5.105263157894737,-1.5,0.911111111111111,4.7,3,4.7368421052631575,85.73684210526316,87.6,2.0
José Berríos,below average,poor,5.435714285714285,-2.0,0.911111111111111,4.7,3,4.75,84.46428571428571,86.7,0.0
Trevor Rogers,below average,below average,4.818181818181818,-1.0,1.0,5.9,0,4.7727272727272725,86.72727272727273,87.0,2.0
Erick Fedde,worst,worst,4.782608695652174,-6.5,0.7777777777777778,3.2,4,3.608695652173913,89.91304347826087,89.9,0.0
Brady Singer,above average,above average,5.591666666666666,2.5,1.1111111111111112,6.2,3,5.458333333333333,86.875,96.2,1.0
Rich Hill,poor,poor,4.6454545454545455,-3.0,0.7777777777777778,4.2,3,3.909090909090909,74.81818181818181,76.0,0.0
Jon Gray,above average,above average,5.35,2.5,1.1111111111111112,6.4,4,6.05,86.55,87.9,3.0
Johnny Cueto,worst,awful,6.327272727272727,-7,0.6666666666666666,3.0,6,4.0,95.45454545454545,96.9,0.0
Eduardo Rodriguez,worst,awful,5.076923076923077,-6.0,0.7777777777777778,4.0,4,4.0,84.38461538461539,84.4,0.0
Cole Irvin,poor,poor,6.119230769230769,-3.5,0.7777777777777778,5.1,2,4.346153846153846,88.3076923076923,91.9,1.0
José Urquidy,below average,poor,5.8076923076923075,-2.5,0.7777777777777778,5.6,2,4.653846153846154,92.65384615384616,99.4,1.0
Bryse Wilson,worst,awful,4.476190476190476,-6.5,0.5555555555555556,2.7,2,2.9523809523809526,71.71428571428571,70.2,1.0
Chris Bassitt,above average,average,6.111111111111111,1.5,1.0,5.1,6,5.7407407407407405,97.44444444444444,96.6,1.0
Jameson Taillon,average,average,5.464285714285714,0,0.911111111111111,4.6,4,4.571428571428571,86.39285714285714,86.0,2.0
Brandon Woodruff,great,above average,5.5260869565217385,4.0,1.1111111111111112,6.8,5,6.608695652173913,93.17391304347827,95.9,2.0
Aaron Nola,excellent,excellent,6.396428571428571,6,1.1111111111111112,7.5,3,7.214285714285714,94.75,90.9,2.0
Jake Odorizzi,worst,awful,4.944444444444445,-7,0.7777777777777778,4.4,3,3.7777777777777777,81.66666666666667,88.4,1.0
Joe Musgrove,above average,above average,6.115384615384615,2.5,1.1111111111111112,5.5,6,6.038461538461538,95.26923076923077,94.1,1.0
Zac Gallen,above average,above average,5.859259259259259,3.0,1.1111111111111112,7.4,2,6.037037037037037,93.55555555555556,96.5,2.0
Julio Urías,above average,below average,5.637037037037037,0.5,1.1111111111111112,5.8,2,5.333333333333333,83.70370370370371,89.7,0.0
George Kirby,great,above average,5.295238095238095,3,1.1111111111111112,5.7,3,5.476190476190476,83.71428571428571,75.8,1.0
Shohei Ohtani,excellent,excellent,5.875,6,1.1111111111111112,7.7,3,7.833333333333333,93.54166666666667,96.6,2.0
