player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Zach Thompson,worst,awful,4.341666666666667,-7,0.6666666666666666,3.1,5,3.0833333333333335,75.625,80.7,0.0
Freddy Peralta,above average,average,4.853846153846154,1,1.1111111111111112,5.4,4,5.384615384615385,84.76923076923077,84.8,2.0
Cristian Javier,great,average,4.795833333333333,3.0,1.1111111111111112,6.9,3,6.25,83.79166666666667,91.4,3.0
Martín Pérez,average,average,6.16,1.5,0.911111111111111,6.2,2,5.56,93.0,95.7,2.0
Joe Musgrove,above average,above average,6.182608695652173,2,1.0,5.6,5,6.0,95.78260869565217,94.8,1.0
Alex Wood,above average,above average,5.04,4.0,1.0,5.5,4,5.04,86.08,86.5,1.0
Jordan Lyles,poor,awful,5.584615384615384,-4.5,0.7777777777777778,4.4,3,4.653846153846154,96.0,96.4,1.0
Triston McKenzie,above average,below average,6.133333333333333,1.0,1.1111111111111112,6.9,4,5.916666666666667,90.08333333333333,95.1,1.0
José Quintana,below average,below average,5.088,-2,0.911111111111111,4.1,4,4.32,86.12,86.6,0.0
Mike Minor,worst,worst,5.28,-7.5,0.7777777777777778,4.5,4,4.4,92.66666666666667,95.2,1.0
James Kaprielian,worst,worst,4.909523809523809,-7.5,0.6666666666666666,3.7,2,3.4761904761904763,83.23809523809524,86.1,1.0
Aníbal Sánchez,worst,worst,4.8875,-8,0.6666666666666666,2.8,2,3.5,92.125,73.7,2.0
Tyler Anderson,below average,poor,5.841666666666666,-3,0.7777777777777778,4.4,2,4.625,86.04166666666667,91.0,2.0
Jacob deGrom,excellent,excellent,5.82,6,1.1111111111111112,4.6,1,9.2,78.6,39.3,6.0
Marco Gonzales,worst,worst,5.608,-7.5,0.5555555555555556,3.2,5,3.16,88.28,89.5,0.0
Tyler Alexander,worst,worst,3.1550000000000002,-7.0,0.5555555555555556,1.7,2,1.65,50.6,60.4,0.0
Ryan Feltner,poor,poor,4.7,-3.0,0.7777777777777778,3.1,4,3.923076923076923,82.23076923076923,80.1,2.0
Kyle Wright,above average,above average,6.133333333333333,3.0,1.1111111111111112,5.2,7,6.0,89.75,87.2,2.0
Michael Wacha,poor,below average,5.5625,-3,0.7777777777777778,4.7,4,4.3125,84.5625,89.3,2.0
Joe Ryan,below average,awful,5.385714285714285,-3.0,1.1111111111111112,6.0,3,5.380952380952381,87.61904761904762,88.3,1.0
Kris Bubic,worst,awful,4.504545454545454,-6.5,0.7777777777777778,4.6,1,3.772727272727273,78.81818181818181,87.4,0.0
Lance Lynn,above average,above average,5.507142857142857,3.5,1.1111111111111112,6.1,2,5.928571428571429,95.35714285714286,93.5,3.0
Gerrit Cole,excellent,excellent,6.046153846153846,6,1.1111111111111112,8.3,3,7.6923076923076925,98.8076923076923,105.4,3.0
Patrick Sandoval,below average,average,5.476190476190476,0.0,1.0,6.1,3,5.714285714285714,91.66666666666667,94.5,2.0
Bailey Falter,below average,awful,3.923076923076923,-2.0,0.911111111111111,4.3,2,3.5384615384615383,60.69230769230769,69.6,0.0
Tommy Henry,worst,worst,5.4399999999999995,-8,0.6666666666666666,1.9,0,3.8,89.4,44.7,3.0
