player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Sonny Gray,above average,average,5.095652173913043,2.0,1.1111111111111112,5.9,2,5.043478260869565,79.47826086956522,81.9,0.0
Cal Quantrill,poor,poor,5.857142857142857,-3.5,0.6666666666666666,4.7,2,4.071428571428571,92.07142857142857,90.7,2.0
Logan Gilbert,average,below average,5.73103448275862,0.0,1.0,5.2,4,5.379310344827586,94.48275862068965,90.2,1.0
José Suarez,below average,below average,4.794736842105263,0.0,1.0,4.9,3,4.578947368421052,79.42105263157895,83.9,1.0
Wade Miley,poor,below average,4.666666666666667,-3,0.7777777777777778,2.3,2,3.8333333333333335,69.16666666666667,41.5,1.0
Edward Cabrera,below average,poor,5.454545454545454,-2.5,1.1111111111111112,5.4,4,5.7272727272727275,94.72727272727273,94.8,2.0
Luis Garcia,above average,below average,5.604,0.5,1.1111111111111112,5.6,2,5.72,88.52,93.8,1.0
Drew Rasmussen,above average,above average,5.048,3.0,1.0,5.2,3,4.56,79.72,80.5,1.0
Tyler Alexander,worst,worst,3.3521739130434782,-7.0,0.5555555555555556,2.3,1,1.7826086956521738,54.04347826086956,75.1,0.0
Tyler Wells,poor,awful,4.554545454545455,-5,0.7777777777777778,4.0,1,3.3181818181818183,71.95454545454545,74.1,1.0
Cory Abbott,worst,worst,2.6923076923076925,-7.0,0.911111111111111,2.6,3,2.4615384615384617,46.53846153846154,53.8,0.0
Kyle Wright,above average,above average,6.074074074074074,2.5,1.0,5.5,4,5.851851851851852,89.81481481481481,89.0,2.0
Max Scherzer,great,above average,6.36,3,1.1111111111111112,7.4,5,7.65,95.35,97.6,3.0
Corbin Burnes,great,great,6.172413793103448,4.5,1.1111111111111112,7.0,7,7.551724137931035,101.0,100.2,3.0
Jakob Junis,above average,average,4.86,1.5,0.911111111111111,4.3,3,4.25,77.5,80.7,2.0
Chad Kuhl,worst,worst,5.129166666666666,-7.5,0.7777777777777778,4.0,3,4.041666666666667,87.58333333333333,84.7,0.0
Merrill Kelly,below average,below average,6.075862068965517,-2,0.911111111111111,6.6,0,5.344827586206897,92.96551724137932,95.4,2.0
Clayton Kershaw,great,great,5.727777777777778,4,1.1111111111111112,6.0,3,5.944444444444445,83.33333333333333,86.0,2.0
