player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Glenn Otto,worst,worst,4.96,-8,0.6666666666666666,3.9,2,3.7,83.65,83.6,1.0
Logan Gilbert,below average,below average,5.738461538461538,-1.0,0.911111111111111,4.1,6,5.115384615384615,94.15384615384616,89.5,1.0
Eduardo Rodriguez,worst,awful,5.0,-6.5,0.7777777777777778,4.1,4,4.1,82.7,82.7,0.0
Paolo Espino,poor,poor,2.676470588235294,-2.5,0.7777777777777778,3.5,0,2.0294117647058822,43.76470588235294,79.7,0.0
Clayton Kershaw,great,great,5.673333333333333,4.5,1.1111111111111112,5.6,5,5.866666666666666,83.86666666666666,85.0,2.0
Chris Bassitt,above average,average,6.170833333333333,1.5,1.0,4.9,5,5.791666666666667,98.08333333333333,97.7,1.0
Kyle Bradish,below average,below average,5.0,-1.5,1.0,5.0,2,4.9375,86.0,89.8,2.0
Shane Bieber,above average,great,6.333333333333333,3,1.1111111111111112,6.5,3,6.375,92.04166666666667,93.6,0.0
Rich Hill,below average,poor,4.6947368421052635,-1.5,0.7777777777777778,4.5,2,3.8947368421052633,74.3157894736842,77.5,0.0
Chad Kuhl,worst,worst,5.142857142857143,-7.5,0.6666666666666666,3.8,2,3.8095238095238093,88.47619047619048,89.2,0.0
Spencer Strider,excellent,excellent,3.9333333333333336,6.5,1.1111111111111112,7.9,2,5.851851851851852,68.88888888888889,93.3,0.0
Daniel Mengden,excellent,excellent,1.025,6,1.1111111111111112,0.6,0,1.5,16.25,6.5,1.0
Johnny Cueto,worst,poor,6.484210526315789,-6,0.6666666666666666,3.2,5,4.052631578947368,96.10526315789474,100.7,0.0
Brandon Woodruff,great,above average,5.41,3,1.1111111111111112,6.9,4,6.6,93.0,97.4,2.0
Merrill Kelly,below average,below average,6.046153846153846,-2,0.911111111111111,6.1,1,5.1923076923076925,92.8076923076923,96.6,2.0
