player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Spenser Watkins,worst,worst,4.666666666666667,-7.0,0.5555555555555556,3.9,1,2.9444444444444446,73.0,80.2,0.0
Cal Quantrill,worst,awful,5.958333333333333,-6.0,0.6666666666666666,4.3,1,3.9166666666666665,93.375,94.4,2.0
Dakota Hudson,worst,worst,5.265217391304348,-8,0.5555555555555556,3.1,4,3.0434782608695654,85.3913043478261,83.6,0.0
Justin Dunn,worst,worst,4.775,-8,0.7777777777777778,1.5,1,3.75,80.25,32.1,2.0
Shane McClanahan,excellent,excellent,6.129166666666666,6.5,1.1111111111111112,6.9,4,7.583333333333333,90.45833333333333,92.2,3.0
Jesús Luzardo,above average,above average,5.372727272727273,3.0,1.1111111111111112,5.7,4,6.2727272727272725,89.45454545454545,90.8,3.0
Cole Irvin,poor,poor,6.178260869565217,-3.0,0.7777777777777778,4.6,3,4.260869565217392,87.47826086956522,87.8,1.0
Erick Fedde,worst,worst,4.86,-7.0,0.7777777777777778,3.4,3,3.8,90.6,93.8,0.0
Marcus Stroman,average,above average,5.344444444444445,1,0.911111111111111,4.6,3,4.666666666666667,86.44444444444444,86.9,1.0
Kevin Gausman,great,excellent,5.5874999999999995,6.0,1.1111111111111112,6.8,3,6.458333333333333,89.75,89.3,3.0
George Kirby,great,above average,5.4,3.5,1.1111111111111112,6.1,3,5.666666666666667,86.38888888888889,84.6,1.0
Matt Manning,below average,below average,5.428571428571429,-0.5,0.911111111111111,3.1,3,4.428571428571429,78.57142857142857,55.0,1.0
Andrew Heaney,excellent,great,4.577777777777778,5.5,1.1111111111111112,6.2,4,6.888888888888889,77.66666666666667,69.9,3.0
Taijuan Walker,poor,below average,5.322727272727272,-2.0,0.7777777777777778,3.9,5,4.0,85.31818181818181,84.0,0.0
José Ureña,worst,worst,4.1571428571428575,-7.5,0.5555555555555556,2.8,2,2.2142857142857144,69.57142857142857,85.3,0.0
Max Fried,above average,great,6.379166666666666,4.5,1.0,5.7,3,5.833333333333333,95.33333333333333,96.3,4.0
Kutter Crawford,below average,poor,3.65,-1.5,1.0,4.8,2,3.6,61.0,82.2,0.0
Chris Archer,worst,awful,4.140909090909091,-5.5,0.7777777777777778,4.1,3,3.5454545454545454,72.5909090909091,76.1,1.0
Framber Valdez,above average,great,6.5,4.0,1.0,6.7,2,5.916666666666667,97.04166666666667,100.4,2.0
Dane Dunning,below average,below average,5.375,-1.0,0.911111111111111,4.2,2,4.666666666666667,87.125,86.0,1.0
Brady Singer,above average,above average,5.571428571428571,3.0,1.1111111111111112,7.1,1,5.714285714285714,86.14285714285714,98.8,1.0
Lucas Giolito,average,average,5.3130434782608695,0.5,1.1111111111111112,5.3,3,5.869565217391305,91.43478260869566,92.2,2.0
Mitch Keller,poor,poor,4.916666666666667,-3.5,0.7777777777777778,4.2,4,4.041666666666667,83.125,85.0,1.0
Jason Alexander,worst,worst,3.7857142857142856,-6.5,0.5555555555555556,2.0,4,2.0,60.57142857142857,51.0,0.0
Jameson Taillon,average,average,5.528,0.5,0.911111111111111,4.6,3,4.6,88.16,90.9,2.0
Mike Mayers,below average,awful,1.7947368421052632,-2.5,0.911111111111111,2.8,1,1.6842105263157894,30.63157894736842,44.0,0.0
Aaron Nola,excellent,excellent,6.648,6,1.1111111111111112,7.6,2,7.4,97.16,99.0,3.0
Zac Gallen,above average,average,5.758333333333333,2.0,1.1111111111111112,6.5,1,5.75,93.33333333333333,95.7,2.0
Blake Snell,above average,above average,5.117647058823529,3.5,1.1111111111111112,7.8,3,6.444444444444445,91.05555555555556,98.1,0.0
Logan Webb,above average,above average,6.119230769230769,2.5,0.7777777777777778,4.4,4,5.0,94.61538461538461,93.9,0.0
