player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Germán Márquez,poor,below average,5.822222222222222,-2.5,0.7777777777777778,4.5,2,4.666666666666667,92.29629629629629,94.9,1.0
Marcus Stroman,average,average,5.342857142857143,0,0.911111111111111,4.0,3,4.476190476190476,86.76190476190476,90.3,1.0
Jesús Luzardo,above average,average,5.371428571428572,1,1.1111111111111112,5.7,4,6.071428571428571,89.28571428571429,90.8,3.0
Josiah Gray,below average,awful,5.247999999999999,-4,1.1111111111111112,5.7,4,5.8,93.2,94.7,2.0
Jordan Lyles,poor,awful,5.571428571428571,-4.0,0.7777777777777778,3.8,5,4.428571428571429,95.32142857142857,93.2,1.0
Jonathan Heasley,worst,worst,4.776470588235294,-8,0.6666666666666666,3.1,5,3.3529411764705883,85.76470588235294,83.1,0.0
Michael Wacha,below average,below average,5.631578947368421,-1.5,0.911111111111111,5.5,2,4.631578947368421,85.78947368421052,90.5,2.0
Mitch Keller,poor,below average,5.074074074074074,-2.0,0.7777777777777778,4.4,5,4.2592592592592595,84.85185185185185,86.3,1.0
Taijuan Walker,poor,below average,5.367999999999999,-3,0.7777777777777778,3.8,5,4.24,85.44,81.0,0.0
Martín Pérez,average,average,6.142857142857143,1.0,0.911111111111111,6.1,1,5.571428571428571,93.53571428571429,95.5,2.0
Corey Kluber,average,below average,5.262962962962963,-1,0.911111111111111,4.3,4,4.518518518518518,78.22222222222223,80.5,0.0
Bailey Ober,poor,poor,4.742857142857143,-3.5,0.911111111111111,2.9,2,4.142857142857143,75.14285714285714,52.6,3.0
Triston McKenzie,average,below average,6.114814814814815,-1,1.1111111111111112,6.3,3,5.888888888888889,91.0,95.7,1.0
Lucas Giolito,average,average,5.346153846153846,0,1.1111111111111112,5.1,3,5.884615384615385,91.65384615384616,91.5,2.0
Matt Manning,poor,poor,5.0200000000000005,-3.5,0.7777777777777778,3.9,4,3.9,80.1,80.1,1.0
Ranger Suárez,below average,average,5.364,-0.5,0.7777777777777778,5.0,0,4.56,89.24,85.5,1.0
Max Fried,above average,great,6.262962962962963,4.0,1.0,5.5,2,5.7407407407407405,93.70370370370371,92.3,3.0
Adrián Martínez,poor,poor,4.775,-3.0,0.7777777777777778,3.1,1,3.875,84.5,67.6,2.0
Justin Verlander,great,above average,6.333333333333333,3.5,1.1111111111111112,7.0,3,6.416666666666667,94.04166666666667,94.4,3.0
Frankie Montas,above average,average,5.423076923076923,1.5,1.0,4.1,6,5.384615384615385,86.46153846153847,76.0,1.0
Adrian Houser,worst,poor,4.8,-6,0.6666666666666666,2.9,4,3.4210526315789473,85.0,80.1,0.0
Jack Flaherty,worst,worst,3.6,-8,0.5555555555555556,1.2,2,2.4,71.6,35.8,0.0
Robbie Ray,above average,above average,5.935714285714285,2,1.1111111111111112,6.6,3,6.75,95.32142857142857,95.8,1.0
Michael Lorenzen,worst,awful,5.442857142857143,-6.5,0.7777777777777778,4.3,5,4.071428571428571,90.64285714285714,90.8,2.0
Blake Snell,above average,above average,5.15,2.5,1.1111111111111112,7.3,3,6.619047619047619,91.9047619047619,95.8,0.0
Madison Bumgarner,worst,worst,5.257142857142857,-8,0.6666666666666666,3.9,4,3.75,90.78571428571429,95.0,0.0
Dustin May,poor,awful,5.25,-5,1.0,2.1,2,5.25,81.5,32.6,3.0
Logan Webb,above average,above average,6.137931034482759,3.5,0.911111111111111,4.8,3,5.137931034482759,95.58620689655173,96.9,0.0
