player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Dylan Cease,above average,above average,5.758620689655173,2.5,1.2814371550197294,6.4,4,7.379310344827586,97.03448275862068,97.0,3.0
Zach Davies,worst,awful,5.083333333333333,-7,0.7622951177203906,3.3,4,3.875,84.95833333333333,79.7,1.0
Michael Grove,worst,worst,3.525,-8,0.7674419285478751,1.1,1,2.75,58.75,23.5,0.0
Drey Jameson,above average,great,7.0,4.5,0.7142857142857143,0.5,0,5.0,90.0,9.0,5.0
Tyler Anderson,below average,poor,5.97037037037037,-3,0.7360824814637419,3.8,5,4.407407407407407,86.25925925925925,89.5,2.0
Brayan Bello,below average,below average,4.21,-0.5,0.9921260154493413,4.2,4,4.2,73.1,73.1,2.0
Nick Lodolo,great,above average,5.44375,5.0,1.2938931768684234,7.5,4,7.0625,93.3125,98.6,4.0
Cristian Javier,great,average,4.859259259259259,2.5,1.3139240950450108,6.1,3,6.407407407407407,84.92592592592592,91.0,3.0
Adrian Sampson,worst,awful,4.835294117647059,-6.5,0.701612932904083,3.5,3,3.411764705882353,80.94117647058823,81.8,0.0
Pablo López,average,average,5.520689655172413,1.0,0.9729730038386484,4.9,4,5.379310344827586,90.27586206896552,87.2,1.0
Ross Stripling,above average,average,4.106896551724137,2.0,0.8547486333793705,5.3,1,3.5172413793103448,62.06896551724138,78.0,0.0
Kyle Gibson,below average,below average,5.3999999999999995,-1.5,0.8241758535426832,4.5,5,4.464285714285714,88.35714285714286,90.5,0.0
Joey Wentz,average,average,4.275,0,0.8653846788688571,1.5,1,3.75,76.5,30.6,1.0
Austin Voth,below average,poor,2.268421052631579,-1.0,0.9000000895445253,3.7,1,2.0526315789473686,40.526315789473685,75.0,0.0
Nestor Cortes,above average,average,5.6,1,1.0142857350135341,5.1,5,5.68,87.36,84.5,2.0
Patrick Corbin,poor,poor,5.072413793103448,-3.0,0.8416289890118308,3.3,5,4.275862068965517,86.55172413793103,79.9,0.0
Charlie Morton,above average,average,5.614285714285714,1.5,1.1860465522806265,7.3,3,6.678571428571429,93.92857142857143,95.1,1.0
Carlos Carrasco,above average,above average,5.423076923076923,2,1.0141844588993976,5.4,3,5.5,83.92307692307692,82.7,1.0
Aaron Ashby,above average,above average,4.178260869565217,3.0,1.2041523246332657,5.4,2,5.043478260869565,73.69565217391305,80.6,1.0
Patrick Sandoval,below average,average,5.504166666666666,-0.5,1.012594490060226,5.0,5,5.583333333333333,90.625,91.0,2.0
Cole Ragans,worst,worst,4.183333333333334,-7.5,0.6710526399995483,1.7,1,2.8333333333333335,78.66666666666667,47.2,1.0
Dylan Bundy,worst,awful,4.884615384615385,-6.5,0.685039390655259,2.7,5,3.3461538461538463,75.11538461538461,72.8,0.0
Zack Greinke,worst,awful,5.139130434782609,-7,0.5646067627480718,3.3,1,2.9130434782608696,87.08695652173913,86.7,0.0
Aaron Civale,average,below average,4.6875,0.5,1.0000000381469742,4.8,3,4.6875,80.25,80.0,1.0
Kyle Freeland,worst,awful,5.7178571428571425,-6.0,0.729729757219472,4.8,3,4.178571428571429,92.64285714285714,96.9,0.0
Luis Castillo,above average,great,6.095454545454545,4.0,1.1166253286706658,7.6,2,6.818181818181818,102.13636363636364,102.2,2.0
JP Sears,worst,worst,3.935714285714286,-6.5,0.6506024358026496,2.8,2,2.5714285714285716,59.714285714285715,64.8,1.0
Adam Wainwright,below average,below average,6.137931034482759,-2,0.7696629378428714,4.6,4,4.724137931034483,98.82758620689656,99.3,0.0
Mike Clevinger,poor,worst,4.91,-5.5,0.8412162378985493,3.5,5,4.15,84.65,89.1,1.0
