player,siera,x_fip,ip,score,k_rate,recent_k_average,below_average_count,overall_k_average,total_pitch_average,recent_pitch_count_average,worst_k
Alek Manoah,above average,below average,6.207999999999999,1.0,1.0,6.2,1,5.88,94.0,96.4,3.0
Johan Oviedo,above average,average,1.792857142857143,2.0,1.1111111111111112,1.6,0,1.8571428571428572,31.571428571428573,23.8,1.0
Kyle Freeland,worst,awful,5.68,-6.0,0.6666666666666666,4.3,4,4.04,92.8,98.2,0.0
Luis Cessa,below average,poor,1.1076923076923078,-1.5,0.7777777777777778,0.7,0,0.8205128205128205,17.641025641025642,21.8,0.0
JP Sears,worst,awful,3.9181818181818184,-5.5,0.6666666666666666,2.5,4,2.3636363636363638,56.0,60.8,1.0
Dean Kremer,poor,poor,5.54,-3.0,0.7777777777777778,4.3,4,4.133333333333334,86.66666666666667,88.1,2.0
Daniel Lynch,poor,awful,4.909523809523809,-4.5,0.911111111111111,4.7,4,4.619047619047619,90.0952380952381,90.6,0.0
Drew Hutchison,worst,worst,3.459090909090909,-7.5,0.5555555555555556,3.1,0,2.1818181818181817,56.36363636363637,84.8,0.0
Josiah Gray,below average,poor,5.352173913043478,-3,1.1111111111111112,6.7,3,6.086956521739131,93.52173913043478,95.7,3.0
David Peterson,above average,above average,4.46,3.0,1.1111111111111112,6.2,2,5.2,79.7,80.6,1.0
Luis Castillo,above average,great,6.11578947368421,3.5,1.1111111111111112,8.0,1,6.7894736842105265,103.15789473684211,106.9,2.0
Zach Plesac,poor,poor,5.521739130434782,-4,0.7777777777777778,4.9,3,4.304347826086956,90.34782608695652,93.0,1.0
Dallas Keuchel,worst,worst,4.3076923076923075,-7.0,0.5555555555555556,3.2,3,3.0,81.6923076923077,84.6,0.0
Nick Pivetta,below average,poor,5.657692307692307,-3,1.0,5.2,4,5.5,93.96153846153847,95.4,2.0
Jeffrey Springs,great,great,3.8846153846153846,5.0,1.1111111111111112,6.0,1,4.230769230769231,62.46153846153846,87.2,0.0
Sandy Alcantara,above average,above average,7.123076923076923,2,1.0,7.0,5,6.423076923076923,102.07692307692308,101.5,3.0
Charlie Morton,above average,average,5.604,1.5,1.1111111111111112,7.7,2,6.72,94.08,97.9,1.0
Sonny Gray,average,average,5.01,0.5,1.1111111111111112,5.0,2,4.95,79.95,83.8,0.0
Davis Martin,worst,awful,4.333333333333333,-5.5,0.6666666666666666,2.8,3,3.111111111111111,71.22222222222223,64.1,0.0
Adrian Sampson,poor,poor,4.6571428571428575,-3.5,0.7777777777777778,3.6,3,3.5714285714285716,79.21428571428571,85.2,0.0
Jordan Montgomery,above average,above average,5.5807692307692305,2.5,0.911111111111111,5.3,2,4.8076923076923075,83.65384615384616,86.5,1.0
Lance McCullers Jr.,worst,awful,5.333333333333333,-5.5,0.7777777777777778,1.3,1,4.333333333333333,87.33333333333333,26.2,2.0
Reid Detmers,below average,poor,5.16,-3,1.0,6.7,1,4.95,86.8,94.7,1.0
Eric Lauer,poor,poor,5.633333333333333,-3.5,1.0,4.9,6,5.375,95.58333333333333,99.6,1.0
Zach Davies,worst,awful,5.147619047619047,-7,0.7777777777777778,3.7,4,3.8095238095238093,85.04761904761905,83.7,1.0
Yu Darvish,above average,average,6.466666666666666,2.0,1.1111111111111112,7.8,1,6.375,99.41666666666667,103.3,2.0
Dustin May,excellent,great,5.5,6.5,1.1111111111111112,1.3,1,6.5,78.5,15.7,4.0
Kyle Gibson,below average,below average,5.56,-1.5,0.7777777777777778,4.6,4,4.56,89.52,93.3,0.0
Alex Cobb,great,excellent,5.285714285714286,5,1.1111111111111112,5.9,3,5.476190476190476,84.76190476190476,96.2,0.0
Domingo Germán,poor,poor,5.2625,-3.5,0.7777777777777778,3.1,2,3.875,79.75,63.8,1.0
